また、しらね型の後継となる|いずも?型|においてはさらに強化される計画となっている。	形容詞-一般	なるい
また、東芝時代も含めると８３１Ｔ以来久々となる|くーまん?の?部屋|搭載機種である。	形容詞-一般	なるく
民俗資料は|かなかんぶつ|などの郷土玩具や小正月行事に関する藁・木製品、信仰関係資料などが含まれる。	形容詞-一般	はかなかん
『クズが聖剣拾った結果』は|くさかべ?かさく|によるライトノベル。	形容詞-一般	はく
コミューンが地理的に孤立してきたことが、長い間|近親?婚|の原因となってきた。	形容詞-一般	間近
ほかに鷲崎健からはばたやん、|安元?洋貴|からはバティー、鈴村健一からはナビィなどと呼ばれる。	形容詞-一般	貴から
この後|暗?視野?検?鏡|法を使い、フィルム上の個々の銀粒子を観察する。	形容詞-一般	後暗
運河と橋を愛した地元市民からの要望により、昭和５６年１０月３１日に、当時の横浜市長|細郷?道一|により設置された。	形容詞-一般	長細
永正３年、諸領を|武田?元繁|から与えられた。	形容詞-一般	繁から
黒木氏の中では早くから大友氏の麾下に属し、当時の大友氏当主・|親繁|から偏諱を賜って繁実と名乗る。	形容詞-一般	繁から
木原の研究の本領は|分子?間?力|ないしは気体論にあり、それはライフワークとも言うべきものである。	形容詞-一般	力ない
